Type,Number of Rooms,Number of Bathrooms,Area (sqft),Amenities Distance Avg (km),Parking Spaces,Age (years),Location,Crime Rate,Lower Status Population,Avg People in Building,Rent Price
Flat,4,1,922.441,2.0858,0,22.3,Saket,1.29,0.24,43.8702,42641.971016077616
PG,1,1,156.777,14.2736,0,8.7,Mayur Vihar,0.84,8.53,2.3291,8924.301837082776
Flat,4,2,994.201,14.8662,2,14.2,Mayur Vihar,1.43,6.4,49.8276,47633.59538205852
Flat,3,2,618.653,8.5457,2,15.6,Vasant Kunj,0.72,1.98,46.9214,38008.16838399731
Flat,3,1,799.278,3.1601,1,16.3,New Delhi,1.37,1.82,27.9711,43123.397381839466
Flat,3,1,879.811,4.9065,1,10.0,Vasant Kunj,0.81,0.21,15.4229,38727.727108852625
Flat,4,3,538.723,12.1412,0,17.4,Dwarka,1.38,6.79,16.3563,35590.79375486211
Flat,1,1,175.152,7.5098,0,20.1,New Delhi,1.05,6.07,45.0279,13331.366008158184
Flat,2,1,273.529,4.3136,2,3.0,Saket,0.12,8.25,52.6552,24466.87232264292
Flat,4,2,1195.829,12.6236,2,12.8,Vasant Kunj,1.81,6.55,49.9307,52508.86424597334
Flat,1,1,240.117,4.2657,1,2.0,New Delhi,1.45,1.74,20.7463,19230.266975348473
Flat,4,3,1183.369,14.2515,0,11.6,Greater Noida,0.88,1.31,25.5987,50679.32404027391
PG,1,1,136.362,10.5774,1,21.3,Noida,0.08,5.94,30.4144,13096.784513986142
Flat,1,1,175.841,2.1249,1,19.7,Dwarka,0.87,3.63,46.6292,15131.043516662141
Flat,2,1,304.948,9.1855,0,21.1,Mayur Vihar,0.83,6.21,48.46,17486.601840073927
Flat,3,3,821.324,7.5211,1,1.5,Faridabad,0.87,3.38,15.6872,42962.97275596743
Flat,3,1,617.066,2.3315,2,7.6,Noida,0.91,6.99,39.6765,34724.02410102054
Flat,1,1,292.083,12.2539,0,16.7,Gurgaon,1.03,6.28,21.5807,14518.89300226435
PG,1,1,194.223,1.3489,0,23.0,Noida,1.17,1.75,48.8261,12982.159955067757
Flat,1,1,295.036,5.4073,1,20.3,Noida,1.51,9.94,49.8982,14220.792081938984
PG,1,1,164.23,14.6159,1,2.8,Noida,0.47,2.39,48.6895,15878.351356533458
Flat,3,1,495.102,6.764,0,0.1,Dwarka,0.94,8.32,23.4419,28119.85662363653
PG,1,1,173.986,1.4561,2,24.8,New Delhi,1.74,5.16,4.8509,15884.35640720276
Flat,4,2,1063.105,1.0124,2,24.2,Noida,0.1,7.7,48.0784,51919.09109277125
Flat,4,4,536.899,2.1726,1,24.8,Faridabad,1.04,4.14,29.8725,40535.436843529744
Flat,2,2,267.681,0.8372,2,23.2,Gurgaon,1.11,3.96,57.4026,24795.57724316719
Flat,3,1,399.369,14.8472,2,0.3,New Delhi,0.51,2.28,51.9639,33837.63038655897
Flat,2,2,498.863,8.1039,0,24.6,New Delhi,0.17,5.26,54.0662,30048.28810663957
Flat,1,1,190.981,14.3956,0,18.3,Faridabad,0.46,8.68,17.569,11136.478080336605
Flat,2,2,308.754,0.2707,0,2.3,New Delhi,0.24,3.12,10.0917,25882.177621229843
Flat,4,2,758.792,1.6094,1,16.1,Dwarka,1.62,9.09,43.5967,41033.05931025699
Flat,4,4,1076.942,11.9153,1,5.7,Vasant Kunj,1.26,7.3,36.4549,52958.86985454763
Flat,3,2,617.132,13.6686,1,24.0,Vasant Kunj,0.55,7.42,34.8177,33257.936309255485
PG,1,1,182.971,3.564,1,18.5,Vasant Kunj,0.34,9.69,8.7434,12128.09838872163
Flat,4,1,992.973,12.8449,1,18.4,Saket,0.81,9.18,18.3242,42734.89334173586
