Type,Number of Rooms,Number of Bathrooms,Area (sqft),Amenities Distance Avg (km),Parking Spaces,Age (years),Location,Crime Rate,Lower Status Population,Avg People in Building,Rent Price
Flat,4,1,922.441,2.0858,0,22.3,Saket,1.29,0.24,43.8702,42641.97102
PG,1,1,156.777,14.2736,0,8.7,Mayur Vihar,0.84,8.53,2.3291,8924.301837
Flat,4,2,994.201,14.8662,2,14.2,Mayur Vihar,1.43,6.4,49.8276,47633.59538
Flat,3,2,618.653,8.5457,2,15.6,Vasant Kunj,0.72,1.98,46.9214,38008.16838
Flat,3,1,799.278,3.1601,1,16.3,New Delhi,1.37,1.82,27.9711,43123.39738
Flat,3,1,879.811,4.9065,1,10,Vasant Kunj,0.81,0.21,15.4229,38727.72711
Flat,4,3,538.723,12.1412,0,17.4,Dwarka,1.38,6.79,16.3563,35590.79375
Flat,1,1,175.152,7.5098,0,20.1,New Delhi,1.05,6.07,45.0279,13331.36601
Flat,2,1,273.529,4.3136,2,3,Saket,0.12,8.25,52.6552,24466.87232
Flat,4,2,1195.829,12.6236,2,12.8,Vasant Kunj,1.81,6.55,49.9307,52508.86425
Flat,1,1,240.117,4.2657,1,2,New Delhi,1.45,1.74,20.7463,19230.26698
Flat,4,3,1183.369,14.2515,0,11.6,Greater Noida,0.88,1.31,25.5987,50679.32404
PG,1,1,136.362,10.5774,1,21.3,Noida,0.08,5.94,30.4144,13096.78451
Flat,1,1,175.841,2.1249,1,19.7,Dwarka,0.87,3.63,46.6292,15131.04352
Flat,2,1,304.948,9.1855,0,21.1,Mayur Vihar,0.83,6.21,48.46,17486.60184
Flat,3,3,821.324,7.5211,1,1.5,Faridabad,0.87,3.38,15.6872,42962.97276
Flat,3,1,617.066,2.3315,2,7.6,Noida,0.91,6.99,39.6765,34724.0241
Flat,1,1,292.083,12.2539,0,16.7,Gurgaon,1.03,6.28,21.5807,14518.893
PG,1,1,194.223,1.3489,0,23,Noida,1.17,1.75,48.8261,12982.15996
Flat,1,1,295.036,5.4073,1,20.3,Noida,1.51,9.94,49.8982,14220.79208
PG,1,1,164.23,14.6159,1,2.8,Noida,0.47,2.39,48.6895,15878.35136
Flat,3,1,495.102,6.764,0,0.1,Dwarka,0.94,8.32,23.4419,28119.85662
PG,1,1,173.986,1.4561,2,24.8,New Delhi,1.74,5.16,4.8509,15884.35641
Flat,4,2,1063.105,1.0124,2,24.2,Noida,0.1,7.7,48.0784,51919.09109
Flat,4,4,536.899,2.1726,1,24.8,Faridabad,1.04,4.14,29.8725,40535.43684
Flat,2,2,267.681,0.8372,2,23.2,Gurgaon,1.11,3.96,57.4026,24795.57724
Flat,3,1,399.369,14.8472,2,0.3,New Delhi,0.51,2.28,51.9639,33837.63039
Flat,2,2,498.863,8.1039,0,24.6,New Delhi,0.17,5.26,54.0662,30048.28811
Flat,1,1,190.981,14.3956,0,18.3,Faridabad,0.46,8.68,17.569,11136.47808
Flat,2,2,308.754,0.2707,0,2.3,New Delhi,0.24,3.12,10.0917,25882.17762
Flat,4,2,758.792,1.6094,1,16.1,Dwarka,1.62,9.09,43.5967,41033.05931
Flat,4,4,1076.942,11.9153,1,5.7,Vasant Kunj,1.26,7.3,36.4549,52958.86985
Flat,3,2,617.132,13.6686,1,24,Vasant Kunj,0.55,7.42,34.8177,33257.93631
PG,1,1,182.971,3.564,1,18.5,Vasant Kunj,0.34,9.69,8.7434,12128.09839
Flat,4,1,992.973,12.8449,1,18.4,Saket,0.81,9.18,18.3242,42734.89334
Flat,4,4,681.704,1.5675,1,19,Vasant Kunj,0.1,2.26,44.9594,45153.40573
Flat,4,2,594.973,3.9744,2,12.5,Noida,1.69,8.77,48.1616,40643.41028
Flat,3,2,800.247,9.393,0,10.1,Saket,0.96,3.24,4.3201,36943.23956
Flat,1,1,256.5,6.884,1,20.4,Dwarka,0.27,2.38,39.6147,16151.72931
Flat,2,2,494.718,7.4731,0,17.3,Mayur Vihar,0.51,7.49,35.3721,25080.84897
PG,1,1,142.223,10.1463,2,20.6,Noida,0.27,2.72,22.8858,15678.0803
Flat,2,2,416.388,8.6925,1,1.2,New Delhi,0.33,7.75,33.2009,29761.08547
Flat,3,3,629.49,6.3561,0,21.2,Gurgaon,1.16,9.43,31.1656,34137.11276
PG,1,1,245.225,5.8824,2,14.6,Mayur Vihar,0.41,3.01,23.6952,17732.00076
PG,1,1,188.018,11.5839,1,20.3,Mayur Vihar,1.5,4.66,13.8874,12213.4697
Flat,3,2,381.755,14.5196,1,24.7,Greater Noida,0.7,0.12,19.1231,28089.00881
Flat,2,2,592.76,4.9455,0,11.6,Saket,1.12,6.04,1.9276,26911.80003
PG,1,1,229.997,2.256,1,20.4,Saket,1.82,2.92,13.1551,14664.35969
Flat,2,1,424.866,7.7837,0,18.3,New Delhi,0.65,3.18,16.2233,24588.99589
PG,1,1,161.598,7.3754,0,9.4,Vasant Kunj,0.65,7.33,14.5937,11069.4592
Flat,1,1,247.115,0.3387,0,17.7,Dwarka,1.08,3.93,57.8846,14444.08307
Flat,3,3,566.49,5.8248,2,4.7,Gurgaon,0.37,7.81,38.6023,39674.3729
Flat,3,1,764.527,5.1646,1,16,Faridabad,0.1,8.42,9.9199,34363.85012
Flat,1,1,299.653,11.254,1,14.7,Greater Noida,1.86,3.71,37.1822,15470.92719
PG,1,1,122.934,12.9295,2,11.9,Dwarka,0.57,2.16,58.0406,15186.27201
PG,1,1,241.903,9.2671,2,13.5,Greater Noida,1.62,0.23,16.5372,16992.42728
Flat,2,1,498.372,8.3902,0,21.1,Greater Noida,1.83,6.64,7.5629,21487.61218
Flat,4,2,688.022,14.929,0,14.4,Mayur Vihar,1.66,0.05,9.0238,38024.36519
Flat,1,1,244.438,0.3961,1,3.9,Greater Noida,0.91,9.1,22.7481,15981.70813
Flat,2,2,315.094,2.743,2,17.4,Vasant Kunj,1.87,4.68,56.9874,25429.30636
Flat,3,1,684.453,14.4631,0,11.9,Greater Noida,0.89,3.69,48.9967,32637.07404
Flat,3,1,544.62,9.8406,0,18.6,Faridabad,0.88,4.25,22.8786,27864.23733
PG,1,1,173.19,8.3872,2,17.9,Saket,0.6,3.5,27.472,15183.99788
PG,1,1,122.777,6.7206,0,15.2,Vasant Kunj,0.66,0.87,44.231,10890.08308
PG,1,1,188.603,13.2304,0,22.3,Dwarka,0.46,2.45,23.8354,11987.29183
Flat,3,3,772.376,9.1897,2,12.2,Gurgaon,0.83,8.64,40.3959,43074.07052
Flat,3,3,512.575,3.0531,1,9.8,Mayur Vihar,1.06,0.1,9.3135,34260.9343
Flat,4,3,1092.003,2.3439,1,9.1,Dwarka,1.77,7.39,58.5975,52168.46897
Flat,2,1,482.987,6.6622,1,11,Greater Noida,1.41,8.75,6.1514,22590.25086
Flat,1,1,197.962,3.891,0,14.2,New Delhi,1.97,2.9,26.3194,13976.9465
Flat,2,2,576.589,6.2081,1,6.3,Dwarka,0.39,1.94,41.9867,30327.91853
Flat,1,1,152.819,9.4764,1,23.3,Vasant Kunj,1.89,0.34,57.3877,13187.61945
Flat,3,3,388.77,3.0864,2,3.7,Noida,1.63,4.98,50.6415,34107.55704
Flat,4,3,953.849,6.8507,1,2.4,Vasant Kunj,0.75,7.92,9.0597,48565.31718
Flat,1,1,166.876,1.7141,0,14.6,Faridabad,1.34,8.64,30.4831,10644.15142
PG,1,1,227.575,1.6789,1,23.9,Gurgaon,1.86,5.61,25.9896,14162.20343
PG,1,1,209.744,11.9477,2,0.6,Greater Noida,0.03,5.85,45.2282,19004.8666
Flat,3,3,817.04,0.3118,1,19.4,Gurgaon,0.62,5.97,36.6156,43871.91523
Flat,2,1,,12.3244,1,12.5,Noida,0.25,,45.7512,23324.32
Flat,1,1,160.952,5.536,2,16.9,Noida,1.87,7.88,49.6532,14267.05894
PG,1,1,143.371,11.6583,1,9,Dwarka,0.07,3.29,20.5189,14586.86556
Flat,1,1,294.268,7.3282,2,20,Faridabad,0.71,9.69,8.7978,15947.20942
Flat,2,1,587.309,13.3833,2,14.8,Mayur Vihar,0.5,4.66,37.6489,28347.88039
Flat,3,3,626.424,11.948,0,8.8,New Delhi,1.1,6.94,52.3933,38659.93763
Flat,3,3,624.664,3.4631,0,21.8,Greater Noida,1.28,9.81,28.986,33285.27457
Flat,2,1,366.976,13.8383,1,9.5,New Delhi,1.1,8.7,52.2445,24063.76509
Flat,4,2,546.368,2.6022,0,15.1,Mayur Vihar,0.73,8.99,33.9129,35620.8653
Flat,4,4,551.331,4.6723,1,21.9,Faridabad,0.33,5.85,30.9765,41118.64669
Flat,2,2,346.358,13.9449,1,10.5,Gurgaon,0.8,2.4,4.9247,23571.29271
Flat,4,4,575.291,6.4391,0,10.6,Gurgaon,1.64,6.86,15.5215,41354.1301
Flat,3,2,763.138,5.3549,1,24.5,Faridabad,0.1,2,11.7957,37886.96649
Flat,1,1,295.803,14.0041,2,21.4,Vasant Kunj,1.97,5.8,35.4433,14908.04551
Flat,3,1,471.55,12.643,1,17.5,Faridabad,1.1,3.53,42.819,28100.52159
Flat,3,3,572.8,3.1874,0,8.8,Saket,0.81,4.87,41.3803,33746.74701
PG,1,1,207.399,5.5931,2,21.6,Faridabad,1.02,0.41,58.2653,16715.65576
Flat,1,1,283.844,7.0625,1,21,Faridabad,1.63,9.48,14.9521,13590.23321
PG,1,1,207.987,7.4641,2,0.4,Greater Noida,0.21,4.99,40.8929,19421.87246
Flat,4,4,1091.495,2.33,2,3.2,Dwarka,0.57,7.11,30.0474,56727.73828
Flat,2,1,482.276,14.1592,2,2.9,Mayur Vihar,1.54,3.19,13.435,26344.22889
